FUNC __main__._new_transition_matrix 52.8438 1666577187.4812 54.5000 1666577187.5802 1
FUNC __main__._asarray 54.5000 1666577187.5802 54.5000 1666577187.5802 3
FUNC __main__.eig_steadystate 54.5000 1666577187.5802 55.4297 1666577187.5956 2
FUNC __main__.entropy_rate 54.5000 1666577187.5802 55.4453 1666577187.5966 1
FUNC __main__.gen_model 52.8281 1666577187.4812 56.0117 1666577187.6449 0
CMDLINE C:\Users\Wuestney\miniconda3\envs\monte-carlo-dev\python.exe gen_mc_transition.py
MEM 1.613281 1666577186.8164
MEM 14.843750 1666577186.9278
MEM 23.531250 1666577187.0409
MEM 29.429688 1666577187.1446
MEM 34.828125 1666577187.2614
MEM 40.378906 1666577187.3615
MEM 48.273438 1666577187.4615
MEM 54.250000 1666577187.5615
MEM 56.011719 1666577187.6618
